Time_Stamp,Temperature,RPM,Fuel_Efficiency,Vibration_X,Vibration_Y,Vibration_Z,Torque,Power_Output,Fault_Condition,Operational_Mode
2024-12-24 10:00:00,60.3085849,3426.827588,20.44547154,0.8746572046,0.005685970882,0.5297983047,107.8776585,23.36768383,2,Idle
2024-12-24 10:05:00,112.705055,2949.758424,23.08394699,0.6964606815,0.3917786912,0.1243361195,60.35165506,57.94102232,3,Cruising
2024-12-24 10:10:00,108.6709757,1817.97104,20.55532584,0.4952760134,0.1897135981,0.8864172157,110.9865643,47.73299848,2,Cruising
2024-12-24 10:15:00,107.1146906,2730.660539,23.22643109,0.9862060048,0.9832016814,0.4681141575,77.41679296,44.11203927,2,Cruising
2024-12-24 10:20:00,118.075814,1854.488677,21.14822583,0.710809874,0.1011388244,0.4810340427,100.4758808,80.68197182,2,Cruising
2024-12-24 10:25:00,78.15721028,2324.480476,16.62744831,0.4844822042,0.2420134572,0.4375037085,91.49507715,86.98182026,0,Cruising
2024-12-24 10:30:00,114.0845342,1128.439288,26.56184118,0.2619740117,0.7153176125,0.2802947976,123.1568768,82.44166837,1,Cruising
2024-12-24 10:35:00,108.3999356,2424.950038,24.15541153,0.4321892399,0.7611217317,0.8699012302,152.3490264,80.37180925,1,Idle
2024-12-24 10:40:00,84.48565524,1662.500402,25.53555672,0.140341619,0.34132607,0.1728175752,90.76338381,27.12889906,0,Idle
2024-12-24 10:45:00,73.57344257,2815.996636,28.37597161,0.3843563362,0.03413550912,0.2306625929,127.348256,31.82330046,1,Heavy Load
2024-12-24 10:50:00,89.21376436,3074.052256,18.53231174,0.7227113267,0.4049777537,0.1378030992,63.89783796,80.56877006,3,Idle
2024-12-24 10:55:00,71.28905763,1475.719683,26.17740857,0.9001133229,0.8015079489,0.428096835,183.5240256,67.22660768,1,Idle
2024-12-24 11:00:00,79.15253565,3438.895028,26.01060986,0.5319821085,0.1370604083,0.1151558774,68.64346897,56.51474458,2,Cruising
2024-12-24 11:05:00,76.33162391,1134.679399,28.24555979,0.3509078469,0.07607786904,0.8036556121,108.7643091,28.1640661,3,Heavy Load
2024-12-24 11:10:00,101.2251426,3276.031092,24.07662304,0.1877338789,0.8175809499,0.3946909792,169.9484089,66.628827,3,Idle
2024-12-24 11:15:00,83.3800623,1233.920012,29.01559824,0.944053244,0.3093626166,0.6681164923,186.7913873,62.89329392,3,Idle
2024-12-24 11:20:00,89.74148057,2100.43783,21.70265514,0.9481529823,0.7061271516,0.9589800793,92.91772198,63.51916293,2,Cruising
2024-12-24 11:25:00,87.87383628,2597.050957,15.73131216,0.08968710196,0.6356854057,0.4132347317,70.61565275,26.82574558,3,Cruising
2024-12-24 11:30:00,100.9925988,1429.094892,27.95273229,0.2855696938,0.3840151138,0.786586495,149.4919192,23.25981047,1,Cruising
2024-12-24 11:35:00,66.89877527,1632.675254,19.76645127,0.4159807804,0.6201891347,0.7725671173,110.6904303,29.3916552,3,Idle
2024-12-24 11:40:00,78.9222569,2821.334839,28.19856745,0.4134527222,0.586152767,0.4724075328,182.9133904,36.40978414,2,Heavy Load
2024-12-24 11:45:00,89.50008933,3347.856696,28.2007853,0.1936708992,0.4209211362,0.6063398448,184.3569468,61.39178689,0,Cruising
2024-12-24 11:50:00,117.061256,3352.44641,25.88531098,0.470902638,0.7738851423,0.06886485853,129.2151909,40.19034305,0,Cruising
2024-12-24 11:55:00,108.4148036,2096.018102,27.66707123,0.6016113378,0.7111203678,0.1010241346,94.17404339,43.01864013,0,Cruising
2024-12-24 12:00:00,68.06181655,1311.471878,22.31490815,0.433347218,0.9262154642,0.2619698734,145.4035889,61.54204568,2,Heavy Load
2024-12-24 12:05:00,60.92809085,3077.199354,27.82902902,0.02680186821,0.4378764324,0.6632051697,151.9940363,42.72026833,2,Cruising
2024-12-24 12:10:00,99.07248999,2188.2837,15.26680477,0.9663797909,0.3123180923,0.07793423755,156.7376951,76.5520414,2,Heavy Load
2024-12-24 12:15:00,99.16829775,3957.193345,17.10567354,0.4204129622,0.3946249972,0.8428684778,123.5475966,74.90898964,1,Idle
2024-12-24 12:20:00,69.57433593,2783.9307,19.89449589,0.7222627608,0.4824185437,0.4939440602,174.6578484,48.07878321,0,Idle
2024-12-24 12:25:00,88.0333714,1923.302525,28.36007024,0.5922180012,0.1714851165,0.01866703063,80.47950171,93.64646673,1,Heavy Load
2024-12-24 12:30:00,86.23425137,2527.458382,16.31069342,0.0268250762,0.4510866321,0.04189603741,129.547585,29.97386345,1,Heavy Load
2024-12-24 12:35:00,102.4124737,3162.095933,26.91421097,0.1533106316,0.7870159782,0.9136532614,198.636434,40.85834098,1,Idle
2024-12-24 12:40:00,62.5079245,2220.364828,29.93665989,0.8545038808,0.02545968017,0.03549518373,79.277345,34.1184531,0,Idle
2024-12-24 12:45:00,95.30283313,1404.682722,22.1057021,0.1495030341,0.6148792583,0.4585673046,57.50847731,45.57759088,0,Idle
2024-12-24 12:50:00,61.52401106,3830.807446,24.40572575,0.4119832017,0.3460742118,0.382194214,170.2686132,67.89411063,2,Idle
2024-12-24 12:55:00,95.45114876,1187.967164,29.86554845,0.1638636929,0.0007405368146,0.8707810345,146.2285623,41.01708088,3,Cruising
2024-12-24 13:00:00,112.4955455,3771.764174,24.81286271,0.6568642331,0.2813064689,0.4974659856,82.13084542,35.91605164,2,Heavy Load
2024-12-24 13:05:00,105.6456554,3517.185305,22.98876352,0.9076076577,0.03172384848,0.5501481072,185.2630876,20.1489097,3,Idle
